node,thULA,thURA,thULB,thURB,dthULA,dthURA,dthULB,dthURB
86,0.457630632,1.988800276,1.166787355,2.758248828,-2.70453802,-2.922891584,-0.935129883,3.608436174
87,0.429626997,1.944906535,1.208381841,2.79071439,-2.252835512,-3.531162199,3.346191851,2.61178845
88,0.411145379,1.914381953,1.246759745,2.811467911,-2.230212343,-3.683459953,4.631135447,2.504367292
89,0.392232853,1.882862715,1.291875841,2.833094665,-2.282211009,-3.803487333,5.444246518,2.609742226
90,0.372465005,1.850445612,1.339776891,2.85741983,-2.385424567,-3.911834652,5.780312313,2.935364706
91,0.351432936,1.81719121,1.386511518,2.886437549,-2.53798045,-4.012873135,5.639558117,3.501624446
92,0.328744965,1.78312861,1.428207547,2.9222681,-2.737801484,-4.110399989,5.031540603,4.323741995
93,0.305159002,1.74741385,1.454543407,2.957822458,-2.846163706,-4.309768996,3.1779991,4.290413087
94,0.276389119,1.680742916,1.500230343,2.997611737,-2.314478559,-5.363541082,3.675421104,3.200966562
95,0.25860927,1.632345118,1.528400437,3.022028856,-2.145528546,-5.84025511,3.399339241,2.946460573
96,0.241007486,1.542837411,1.52922288,3.02263595,-1.416027697,-7.200712918,0.066163841,0.048839503
97,0.224577591,1.44647004,1.483282369,2.988824668,-1.321751727,-7.752559461,-3.695820859,-2.720049017
98,0.213283026,1.371988987,1.439620567,2.946199624,-1.249398349,-8.239051686,-4.829843704,-4.715158067
99,0.203773267,1.302161895,1.442141002,2.876879309,-1.147561094,-8.426170679,0.30414578,-8.365017049
