node,x_body,y_body,theta_body,theta_ullA,theta_urlA,theta_lllA,theta_lrlA,theta_ullB,theta_urlB,theta_lllB,theta_lrlB,dx_body,dy_body,dtheta_body,dtheta_ullA,dtheta_urlA,dtheta_lllA,dtheta_lrlA,dtheta_ullB,dtheta_urlB,dtheta_lllB,dtheta_lrlB,ddx_body,ddy_body,ddtheta_body,ddtheta_ullA,ddtheta_urlA,ddtheta_lllA,ddtheta_lrlA,ddtheta_ullB,ddtheta_urlB,ddtheta_lllB,ddtheta_lrlB,Tau_leftA,Tau_rightA,Tau_leftB,Tau_rightB,GRF_yA,GRF_yB
20,0.46676881172354423,0.45955099488241913,-0.10814116862570376,0.1120340936398939,1.4226046048558798,4.465812365907069,2.2187761560022246,2.071310867886503,3.1184942043930186,3.755747608791856,1.9456177362576454,8.16126832375804,0.0206783198906068,-2.6241370653420115,5.7823620647520615,16.6368941774165,5.388106152428824,-12.778256398084539,-9.094012498490562,-3.223836833966118,7.717007804756458,-2.326992508114759,-1.4203301337688403,-7.5089704230954135,30.742125592890787,87.5876034463199,154.11153633658185,52.06911043527504,-43.98288781214591,38.24402560301576,-316.0881925557787,-317.8803278546171,199.35047842394425,2.577729795951917,4.268758364069176,-2.044249669136795,-5.302551413781091,0.0,-7.262724845987513e-09
21,0.47900758997615933,0.45956508812837393,-0.1119946429415929,0.12089827384102653,1.4478854961453773,4.4740014006632185,2.199528090013784,2.0577638934874933,3.112900576742878,3.7665736083558286,1.9426222630290313,8.15913623329311,0.009395440569427989,-2.56896736470549,5.909417783760148,16.853825755524984,5.459323538305359,-12.831966507240628,-9.031261731278988,-3.7290625823751533,7.2172894614830545,-1.9969700938263988,-1.421385060339959,-7.521874127070922,36.77957833309019,84.70330119630057,144.62017879212488,47.477970558172,-35.8065232218697,41.8335921981008,-336.81513176823773,-333.1435505151042,220.01361432001406,2.51128349207519,4.251160652116251,-2.004706817126422,-5.432111874494803,0.0,-7.258861910481096e-09
22,0.49124319446563003,0.4595622221820402,-0.11575164431451129,0.1299464782522888,1.4734703776395155,4.482286676762996,2.1802175443446705,2.044318994177096,3.1065028881807057,3.7766161283771575,1.9401682195460779,8.157020133051448,-0.0019106192885377888,-2.504652374565515,6.032099649358988,17.056484101705877,5.52348386317401,-12.873618948595333,-8.96321178542015,-4.265099811908727,6.694972698001621,-1.636019055295515,-1.4107249290094486,-7.537327474606943,42.876399762695435,81.7874138144311,135.10474381147472,42.77329020785886,-27.768125638046005,45.366355123793355,-357.3559832808577,-348.20906144969956,240.63256464982481,2.4444618888716168,4.232986955386858,-1.9650450371390076,-5.56213845037725,0.0,-7.2547338180736455e-09
23,0.503475676500809,0.45954235511290015,-0.11939832382571974,0.13917202426696665,1.4993377690188985,4.4906574137795285,2.1608622902117918,2.0309841656406693,3.0992553322863223,3.785841440720345,1.938301991619433,8.154938221761167,-0.013244631875833052,-2.4311048275356795,6.150326450130935,17.244822273217334,5.580457264855673,-12.903423954859255,-8.88983140131353,-4.831674422859287,6.150170670088792,-1.2441443531858194,-1.3879323841721196,-7.555962247747041,49.03139858824328,78.8173858485123,125.55801423279335,37.98203583388708,-19.86988283183183,48.91995731999793,-377.71410062427054,-363.1991339077663,261.2482059802075,2.377177282723821,4.214298616789574,-1.9251151172642127,-5.6925993486759525,0.0,-7.250319974410485e-09
24,0.5157051155724477,0.4595054363856493,-0.1229207049521273,0.14856805694467223,1.5254661033050323,4.499102697151361,2.1414797781540256,2.017767618738013,3.091112500009372,3.794215722330645,1.9370700634533937,8.152909287085825,-0.024612333608096313,-2.348239655957983,6.263983297278318,17.418782497680013,5.630154321138519,-12.921595310882864,-8.810977131057507,-5.428521496778244,5.582820104286031,-0.8212803978244515,-1.3526148060100518,-7.578421257335073,55.243108287650415,75.77076587247208,115.9727704024001,33.131167287050076,-12.114162915894418,52.569190502582614,-397.8956044851401,-378.23138656407093,281.90757144657687,2.3093418262688767,4.195157165504338,-1.8847637103097912,-5.82346873358071,0.0,-7.245597828711799e-09
25,0.5279316201837692,0.4594514053605737,-0.12630468743949236,0.15812749850068195,1.551833711058573,4.507611539074892,2.122087131542473,2.004677942512578,3.0820293600252664,3.801704798403457,1.936519135356895,8.150952670372233,-0.036020460640449656,-2.255974374420998,6.372921628482007,17.57829646839864,5.672526204599289,-12.928351128061125,-8.726396854684447,-6.05538921076842,4.9926865081116265,-0.3672831264613951,-1.304403076230655,-7.605370991493611,61.509807327121365,72.62510503683865,106.34198954840735,28.247747628824005,-4.503850267941757,56.386502232653605,-417.90922506069944,-393.41996462014947,302.6629759687705,2.2408676948342894,4.1756246462261695,-1.8438336705511602,-5.954726510847734,0.0,-7.240542672898125e-09
26,0.5401553286284813,0.45938018971097133,-0.12953605170234236,0.16784299756032112,1.5784188054827437,4.516172939932203,2.1027011382053753,1.9917242631791585,3.071961233223458,3.8082738905408204,1.936696251852247,8.149088231610232,-0.047476804171624705,-2.1542294309079457,6.476959051275089,17.723285947807174,5.707565039527291,-12.923915101211346,-8.635732461181535,-6.712042749225979,4.379367494821826,0.11807692848918648,-1.2429514367667147,-7.637514807347106,67.8295400743737,69.35785008001534,96.65905119542501,23.359077865165847,2.957332822535071,60.44255272141044,-437.7663003574479,-408.8767967616902,323.57135559810337,2.1716672149639167,4.155763981117007,-1.8021642366850692,-6.086358292587424,0.0,-7.235127423473456e-09
27,0.5523764097145293,0.45929170372622935,-0.13260046369693937,0.17770687792396153,1.6051994689045943,4.524775950606792,2.083338239476008,1.9789164004232795,3.0608637610036,3.8138873669341984,1.9376489391231821,8.14733631325667,-0.05899028667156391,-2.042928522163411,6.575879016796086,17.853663686025378,5.735304493841845,-12.908518226573802,-8.538521640717148,-7.398268431867664,3.7422941343205856,0.6351208655778323,-1.1679382469786441,-7.675606879892918,74.20014065269969,65.94623024925284,86.9179472377528,18.492853607271794,10.264518741170447,64.80680735480445,-457.48092037935004,-424.7129110489066,344.69379709792304,2.101652957623319,4.135639362586155,-1.7595910842869404,-6.218355540150561,0.0,-7.229322386212047e-09
28,0.5645950634303266,0.459185846466825,-0.13548348020075185,0.18771108657040447,1.6321536411134276,4.533409736084008,2.064014516002308,1.9662650224039007,3.0486928667493407,3.8185084914979983,1.9394253511142934,8.145717701885886,-0.07057106059797637,-1.9219988647007942,6.669430312058915,17.969334658965455,5.755820635551527,-12.882400960635797,-8.434198749119696,-8.113878261933328,3.08073025371845,1.1842671818359822,-1.0790674326450858,-7.720467194512073,80.61926251356685,62.36713631318873,77.11349497155929,13.677341431068296,17.41140066855433,69.5481551865735,-477.0702072416524,-441.03980180581425,366.0952322010816,2.030737796396206,4.11531667357297,-1.7159462692649208,-6.350715882384026,0.0,-7.2230950043999185e-09
29,0.5768115215491388,0.45906249973434093,-0.13817055441169582,0.19784714060165692,1.6592591100380996,4.542063640774124,2.0447456696843735,1.953781800893675,3.0354047095663463,3.822099168766999,1.9420744239034355,8.144253586955484,-0.08223063171848423,-1.7913714079857928,6.757326354230459,18.070197627570128,5.769233081158904,-12.845815801526848,-8.32209471621394,-8.85871508330073,2.393769613356996,1.7660372879971125,-0.9760704090880417,-7.772997950554225,87.08441698562144,58.59698856843364,67.24155118123986,8.94157350562342,24.389950868294243,74.73554636093317,-496.5547211082972,-457.9708459643933,387.84426941144653,1.9588349292819498,4.094863931237318,-1.6710580822779064,-6.483443604610144,0.0,-7.216409592370744e-09
30,0.589026048230406,0.45892152581459217,-0.14064704176223708,0.2081060728506369,1.6864935053860532,4.5507272560826175,2.0255470010274013,1.9414795679572678,3.02095562902561,3.8246196812571114,1.9456460382379002,8.142965516303144,-0.09398200987782726,-1.6509809690739663,6.839244263607192,18.156147017621866,5.775706463663232,-12.799030278628388,-8.201435977730183,-9.632658526666233,1.6803308737188203,2.38106093850399,-0.8587082560179601,-7.834201817031868,93.59302515020262,54.611589022553936,57.29922555345389,4.315560633833119,31.190148383616908,80.43864263858062,-515.9589835404383,-475.62277331451304,410.01313505410366,1.8858578710138016,4.074351769405256,-1.624750841776503,-6.616550335589328,0.0,-7.1869817593064925e-09
31,0.6256337628287889,0.45851421302826884,-0.1412765844531,0.23843042809536627,1.7703439851938922,4.5784933375273535,1.9663029410695558,1.9077744028705788,2.946077301904579,3.8049728620372636,1.9802564800977038,8.135073566382601,-0.09051424044413404,-0.13989882076863322,6.738767046110303,18.633499230880187,6.170259948788761,-13.165388536697794,-7.490060511982839,-16.63968118032041,-4.365973714894107,7.691233768167201,-1.753772227798829,0.7706178810625167,335.7971011349168,-22.32834158182396,106.07860705140874,87.67883115846321,-81.41320521489367,158.08393970133184,-1557.1210984939275,-1343.6275160235116,1180.0421603326351,5.675823087414804,10.618657314185945,-4.0129525694318,-20.376532527776824,0.0,-7.176013883370351e-09
32,0.6378371735520224,0.45835902093549147,-0.14122682301304104,0.2486573562783939,1.7982688254831265,4.587675229505497,1.9468903227823255,1.8968789307854494,2.9197231046082197,3.797063843883634,1.993196298083542,8.135554877215526,-0.10346073044122601,0.03317408022646199,6.817908316398803,18.61644058066675,6.121221989409834,-12.941662373579032,-7.263601387518888,-17.56935197971309,-5.2726448919107956,8.626489897987737,0.3208718269889633,-8.630937876911558,115.38119266311278,52.7605078684133,-11.372360407274783,-32.69176287202866,149.14981711271056,150.9717796365793,-619.7765508133297,-604.4435677450073,623.5000805079164,1.6797142284091058,3.9349823344009915,-1.3024942260074674,-7.211819458383275,0.0,-7.1292505191272275e-09
33,0.6744710464899226,0.4578558919273112,-0.1325363651157237,0.27712417537568657,1.8810250175346046,4.616367613940482,1.8888463242282767,1.8700465110147646,2.8046478981788123,3.7397373166887635,2.0614878220497688,8.140886671764779,-0.11180680360538955,1.9312190383946612,6.3259800177155965,18.39032367721313,6.376105808519631,-12.898707570602648,-5.962779006539989,-25.57234982661483,-12.739268981207337,15.175942718193733,1.1848470200295425,-1.8546888530974706,421.7891165521817,-109.31774909528791,-50.248361365087774,56.64102972014016,9.545542280814876,289.0725641156142,-1778.4496500396183,-1659.255100727989,1455.4386117391841,4.815098347775032,10.138901267565176,-3.3839465442253585,-21.753910816753834,0.0,-7.111681957940981e-09
34,0.6866874348743669,0.45766422907339327,-0.1293207933492174,0.2867426303419636,1.9084429205978621,4.625738782610576,1.8699619285170086,1.8617792818624184,2.7646409536529495,3.7186351466033747,2.086221089788786,8.144205422372863,-0.12777439657478012,2.1437004286927035,6.412261187680519,18.278481967895765,6.247404739859897,-12.589514438308528,-5.511449895967013,-26.671121143708486,-14.068020975176106,16.488736842191052,2.2124858712153386,-10.644992050935851,141.65332965528265,57.520402115880024,-74.56064974405777,-85.80014880490123,206.12740077883376,300.88409715948836,-732.5093994241954,-885.8288434942835,875.1903333993938,1.4340562271426904,3.7604696144014302,-0.8333481944416837,-7.896940903436744,0.0,-7.038406414084684e-09
35,0.7234467216236639,0.45693269764817845,-0.10912986167175735,0.31050257325277214,1.9863946507212706,4.655180101661206,1.8146012351623773,1.8461738110936097,2.603915613426679,3.6134264479043505,2.1957687277338325,8.168763723373415,-0.162563202315575,4.48689201596387,5.2800088598821375,17.322677383517913,6.54254204302966,-12.3024265040932,-3.4678965446696646,-35.7168880240126,-23.379806229030045,24.344018885074195,5.457422492693908,-7.730877267914496,520.7113665060598,-251.61265516669562,-212.40188550854214,65.58633501215931,63.79757905616195,454.1248201225028,-2010.1786208714796,-2069.2940562286763,1745.6253552035469,3.775664484019163,9.671961481952685,-2.701798834758793,-22.977736833167647,0.0,-7.011883676377911e-09
36,0.7357109221446002,0.45665383194209913,-0.10199668896748892,0.3184725468014238,2.012055665052617,4.664749659023753,1.7966760646442528,1.842228509063992,2.548414225399952,3.575178789535722,2.234798670779902,8.176076286946227,-0.18590916569121096,4.755415087881199,5.313278401431763,17.107222799834705,6.3796601250052145,-11.950029793015633,-2.630182889959341,-37.0006656172379,-25.498259922049105,26.01977937942804,4.875008160734606,-15.563866329941469,179.0141246511191,22.179538672505124,-143.63538084353144,-108.58718309918109,234.9294915816614,558.4718494968961,-855.8457210287793,-1412.2925481296945,1117.1658207233604,1.1109286817371207,3.5614981832951815,-0.10717345944315321,-8.722390257084859,0.0,-6.982687272478197e-09
37,0.7479874796155467,0.45633562080645873,-0.09442767852101763,0.32646490126228705,2.037367682119206,4.674079132601752,1.779175414481281,1.8396149038526193,2.491014341081702,3.5337088565085137,2.27600792120947,8.184314418692706,-0.212139273715263,5.045971680488931,5.3281990499494345,16.87456004947186,6.219605561569559,-11.667018527325338,-1.7423912906230694,-38.26632196924287,-27.646428701207732,27.472641517983426,5.492049427973993,-17.486616407992617,193.70304060836642,9.94702945743708,-155.10741565734298,-106.70229617741593,188.6728578368317,591.8569276800646,-843.7650013318944,-1432.1025054997,968.5679863505628,0.9898898930878732,3.5362743835912482,-0.020756374496080875,-8.833365067569622,0.0,-6.9496002784118054e-09
